SatzID	Verb	Satz	Annotator A	Annotator B	Annotator C	Annotator D	Annotator E	Annotator F	Annotator G	Annotator H	Annotator I	Annotator J	
tueba-s2683-1	sagen	' Es ist doch verrückt', sagt Peter Lehmann, Betriebsratsvize und Mitglied im Aufsichtsrat,' niemand will das Geld.'	*	78741	*	*	*	*	73759	*	*	*	
tueba-s9625-3	sagen	' Wenn wir wieder die Regierung übernehmen, wird dieses Gesetz keinen Bestand haben', sagte Stoiber.	*	*	78848	*	*	*	*	78741	*	*	
tueba-s21169-6	übrig#lassen	Aber wenn die' sechs' Punkte in der Hansestadt gebunkert werden sollen, muß das Millertorteam seine spielerische Leistung noch verbessern, die beim 2:1-Triumph gegen Mainz am vergangenen Freitag erheblich zu wünschen übrig ließ.	75123	75123	*	75123	*	*	75123	*	*	*	
tueba-s28265-3	sagen	Seit fast 14 Jahren erklimmt Manfred Toews nun täglich- außer sonntags- die 200 Stufen, um die Turmluken zu gewinnen und sein Lied zu blasen, was auch einmal gesagt werden muß.	*	*	*	*	*	78848	*	78741	*	*	
tueba-s71059-2	sagen	Die Sprache der Literatur ist die Suche des Augenblicks, der ihr vorausliegt: nichts sagen, sprechen, um nichts zu sagen.	78741	*	*	*	*	*	78741	78741	*	*	
tueba-s94092-1	sagen	' Das ist der Heldenstadt-Blues, weil jeder seine Meinung sagen muß!'	78848	78848	*	*	*	*	78741	*	78848	*	
tueba-s98742-1	sagen	' Ich bin für die Partei und für das Böse zuständig', sagt Trittin selbst und meint, daß es in der öffentlichen Wahrnehmung immer auch eine Zuschreibung von bestimmten Rollen gebe.	78848	*	*	78848	*	78741	*	*	*	*	
tueba-s104694-2	wissen	Die Debatte um das' Schwarzbuch' zeigt: Manche deutsche Linke wollen von den kommunistischen Verbrechen noch immer nichts wissen	77221	*	*	77221	*	77221	77221	*	*	*	
tueba-s174-5	finden	Nimmst du mein Tier, nehm ich deins: Unter diesem segensreichen Motto koordiniert der Bremer Tierschutzverein auch heuer wieder die Selbsthilfeorganisa-tion von Wellensittichzüchtern und Hundehaltern während Herrchens Fahrt nach Italien, wo ferienmachende Sittiche gern im gerupften Dutzend frittiert werden und Möpse als Carnigglio im haschierten Zustand zu Teigwaren Verwendung finden.	129655	77553	*	*	*	*	*	*	129655	*	
tueba-s1285-1	scheinen	Aber zwischen all dem heiligen Ernst, der von David Sylvians Kompositionen ausstrahlt, scheint ab und zu ein Augenblinzeln auszugehen.	*	*	*	*	*	*	73621	*	73621	*	
